period,mean_regret
5305,8.089936569502624
5306,8.090398765266315
5307,8.090860961030002
5308,8.091323156793688
5309,8.091785352557377
5310,8.092247548321065
5311,8.092709744084752
5312,8.093171939848443
5313,8.09363413561213
5314,8.094096331375818
5315,8.094558527139505
5316,8.095020722903193
5317,8.09548291866688
5318,8.095945114430569
5319,8.096407310194255
5320,8.096869505957946
5321,8.097331701721632
5322,8.097793897485321
5323,8.09825609324901
5324,8.098718289012696
5325,8.099180484776385
5326,8.099642680540072
5327,8.100104876303758
5328,8.10056707206745
5329,8.101029267831136
5330,8.101491463594824
5331,8.10195365935851
5332,8.1024158551222
5333,8.102878050885888
5334,8.103340246649577
5335,8.103802442413263
5336,8.104264638176954
5337,8.104726833940639
5338,8.105189029704329
5339,8.105651225468016
5340,8.106113421231703
5341,8.106575616995391
5342,8.107037812759078
5343,8.107500008522766
5344,8.107962204286457
5345,8.108424400050144
5346,8.108886595813832
5347,8.109348791577519
5348,8.109810987341207
5349,8.110273183104894
5350,8.110735378868583
5351,8.11119757463227
5352,8.11165977039596
5353,8.112121966159645
5354,8.112584161923335
5355,8.113046357687022
5356,8.11350855345071
5357,8.113970749214399
5358,8.114432944978086
5359,8.114895140741773
5360,8.115357336505465
5361,8.11581953226915
5362,8.116281728032838
5363,8.116743923796525
5364,8.117206119560214
5365,8.1176683153239
5366,8.118130511087589
5367,8.118592706851278
5368,8.119054902614966
5369,8.119517098378653
5370,8.119979294142343
5371,8.12044148990603
5372,8.120903685669717
5373,8.121365881433405
5374,8.121828077197092
5375,8.122290272960779
5376,8.122752468724471
5377,8.123214664488156
5378,8.123676860251845
5379,8.124139056015533
5380,8.124601251779222
5381,8.125063447542908
5382,8.125525643306597
5383,8.125987839070284
5384,8.126450034833974
5385,8.126912230597659
5386,8.12737442636135
5387,8.127836622125036
5388,8.128298817888723
5389,8.128761013652412
5390,8.1292232094161
5391,8.129685405179787
5392,8.130147600943477
5393,8.130609796707164
5394,8.131071992470853
5395,8.13153418823454
5396,8.131996383998228
5397,8.132458579761915
5398,8.132920775525603
5399,8.13338297128929
5400,8.13384516705298
5401,8.134307362816667
5402,8.134769558580356
5403,8.135231754344044
5404,8.135693950107731
5405,8.13615614587142
5406,8.136618341635106
5407,8.137080537398793
5408,8.137542733162485
5409,8.13800492892617
5410,8.138467124689859
5411,8.138929320453546
5412,8.139391516217234
5413,8.139853711980923
5414,8.140315907744611
5415,8.140778103508298
5416,8.141240299271988
5417,8.141702495035673
5418,8.142164690799364
5419,8.14262688656305
5420,8.143089082326737
5421,8.143551278090426
5422,8.144013473854113
5423,8.144475669617801
5424,8.144937865381491
5425,8.145400061145178
5426,8.145862256908867
5427,8.146324452672554
5428,8.146786648436242
5429,8.147248844199929
5430,8.147711039963617
5431,8.148173235727304
5432,8.148635431490995
5433,8.14909762725468
5434,8.14955982301837
5435,8.150022018782057
5436,8.150484214545745
5437,8.150946410309434
5438,8.15140860607312
5439,8.151870801836807
5440,8.1523329976005
5441,8.152795193364184
5442,8.153257389127873
5443,8.15371958489156
5444,8.154181780655248
5445,8.154643976418935
5446,8.155106172182624
5447,8.155568367946312
5448,8.15603056371
5449,8.156492759473688
5450,8.156954955237378
5451,8.157417151001065
5452,8.157879346764751
5453,8.15834154252844
5454,8.158803738292127
5455,8.159265934055814
5456,8.159728129819506
5457,8.16019032558319
5458,8.16065252134688
5459,8.161114717110568
5460,8.161576912874256
5461,8.162039108637943
5462,8.162501304401632
5463,8.162963500165318
5464,8.163425695929009
5465,8.163887891692694
5466,8.164350087456384
5467,8.164812283220071
5468,8.165274478983758
5469,8.165736674747446
5470,8.166198870511135
5471,8.166661066274822
5472,8.167123262038512
5473,8.167585457802199
5474,8.168047653565887
5475,8.168509849329574
5476,8.168972045093263
5477,8.16943424085695
5478,8.169896436620638
5479,8.170358632384325
5480,8.170820828148015
5481,8.171283023911702
5482,8.17174521967539
5483,8.172207415439079
5484,8.172669611202766
5485,8.173131806966454
5486,8.173594002730141
5487,8.174056198493828
5488,8.17451839425752
5489,8.174980590021205
5490,8.175442785784893
5491,8.17590498154858
5492,8.176367177312269
