period,mean_regret,std_regret,standard_error,ci95_lower,ci95_upper
8881,11.688388870369183,6.40508395977893,2.0254653917511733,7.718476702536883,15.658301038201483
8882,11.688961908234822,6.405216704751622,2.0255073693973373,7.718967464216041,15.658956352253602
8883,11.68953494610046,6.405349534378722,2.0255493738135764,7.719458173425851,15.65961171877507
8884,11.690107983966097,6.405482448654961,2.025591404998223,7.719948830169581,15.660267137762613
8885,11.69068102183174,6.405615447575071,2.025633462949612,7.7204394344505,15.660922609212978
8886,11.691254059697378,6.405748531133779,2.0256755476660757,7.720929986271869,15.661578133122887
8887,11.691827097563017,6.405881699325811,2.025717659145947,7.721420485636962,15.662233709489072
8888,11.692400135428656,6.406014952145887,2.025759797387555,7.721910932549049,15.662889338308263
8889,11.692973173294295,6.406148289588729,2.025801962389231,7.7224013270114025,15.663545019577187
8890,11.693546211159935,6.406281711649051,2.0258441541493037,7.7228916690273,15.66420075329257
8891,11.694119249025572,6.406415218321565,2.0258863726661014,7.723381958600013,15.664856539451131
8892,11.694692286891211,6.406548809600984,2.0259286179379514,7.7238721957328265,15.665512378049595
8893,11.695265324756852,6.406682485482014,2.0259708899631796,7.724362380429019,15.666168269084684
8894,11.695838362622492,6.40681624595936,2.0260131887401123,7.724852512691872,15.666824212553113
8895,11.696411400488131,6.406950091027722,2.026055514267073,7.725342592524669,15.667480208451593
8896,11.69698443835377,6.407084020681801,2.026097866542386,7.725832619930694,15.668136256776846
8897,11.697557476219409,6.407218034916291,2.0261402455643727,7.726322594913238,15.668792357525579
8898,11.698130514085047,6.407352133725887,2.0261826513313568,7.726812517475588,15.669448510694506
8899,11.698703551950686,6.407486317105274,2.026225083841657,7.727302387621039,15.670104716280333
8900,11.699276589816325,6.407620585049145,2.026267543093595,7.727792205352879,15.670760974279771
8901,11.699849627681965,6.40775493755218,2.0263100290854883,7.728281970674408,15.671417284689522
8902,11.700422665547604,6.407889374609063,2.0263525418156565,7.728771683588917,15.672073647506291
8903,11.700995703413245,6.40802389621447,2.0263950812824154,7.729261344099711,15.672730062726778
8904,11.701568741278882,6.408158502363077,2.0264376474840815,7.7297509522100825,15.673386530347681
8905,11.702141779144522,6.408293193049557,2.0264802404189703,7.730240507923341,15.674043050365704
8906,11.702714817010161,6.40842796826858,2.026522860085396,7.730730011242785,15.674699622777538
8907,11.7032878548758,6.408562828014812,2.026565506481673,7.731219462171721,15.675356247579879
8908,11.703860892741437,6.408697772282917,2.0266081796061126,7.731708860713456,15.676012924769417
8909,11.704433930607077,6.408832801067556,2.026650879457027,7.732198206871304,15.67666965434285
8910,11.705006968472718,6.4089679143633855,2.0266936060327265,7.732687500648574,15.677326436296863
8911,11.705580006338357,6.409103112165065,2.026736359331522,7.733176742048574,15.67798327062814
8912,11.706153044203996,6.409238394467242,2.026779139351721,7.733665931074622,15.67864015733337
8913,11.706726082069634,6.409373761264568,2.026821946091632,7.734155067730036,15.679297096409233
8914,11.707299119935275,6.40950921255169,2.026864779549563,7.734644152018132,15.679954087852419
8915,11.707872157800912,6.40964474832325,2.0269076397238184,7.735133183942228,15.680611131659596
8916,11.70844519566655,6.409780368573889,2.026950526612705,7.735622163505649,15.681268227827452
8917,11.709018233532191,6.409916073298246,2.026993440214526,7.73611109071172,15.681925376352662
8918,11.70959127139783,6.410051862490954,2.0270363805275857,7.736599965563762,15.682582577231898
8919,11.71016430926347,6.410187736146648,2.027079347550186,7.7370887880651065,15.683239830461835
8920,11.710737347129108,6.410323694259955,2.027122341280629,7.7375775582190744,15.68389713603914
8921,11.711310384994748,6.410459736825501,2.027165361717215,7.7380662760290075,15.684554493960489
8922,11.711883422860387,6.41059586383791,2.0272084088582436,7.738554941498229,15.685211904222545
8923,11.712456460726026,6.4107320752918024,2.027251482702014,7.739043554630078,15.685869366821972
8924,11.713029498591663,6.410868371181797,2.027294583246824,7.739532115427888,15.686526881755437
8925,11.713602536457305,6.411004751502507,2.0273377104909707,7.740020623895003,15.687184449019608
8926,11.714175574322944,6.411141216248545,2.0273808644327507,7.7405090800347525,15.687842068611136
8927,11.714748612188583,6.411277765414519,2.027424045070458,7.740997483850485,15.68849974052668
8928,11.715321650054221,6.411414398995036,2.0274672524023876,7.741485835345542,15.6891574647629
8929,11.71589468791986,6.4115511169846995,2.0275104864268334,7.741974134523266,15.689815241316454
8930,11.7164677257855,6.411687919378109,2.027553747142087,7.742462381387011,15.690473070183991
8931,11.717040763651138,6.4118248061698635,2.027597034546441,7.742950575940114,15.691130951362162
8932,11.717613801516777,6.4119617773545565,2.027640348638185,7.743438718185934,15.691788884847618
8933,11.718186839382417,6.412098832926779,2.027683689415609,7.743926808127823,15.69244687063701
8934,11.718759877248058,6.412235972881121,2.0277270568770023,7.744414845769134,15.693104908726982
8935,11.719332915113696,6.412373197212168,2.0277704510206522,7.744902831113218,15.693762999114174
8936,11.719905952979335,6.412510505914504,2.0278138718448466,7.745390764163436,15.694421141795235
8937,11.720478990844974,6.4126478989827085,2.0278573193478713,7.745878644923146,15.695079336766803
8938,11.721052028710613,6.412785376411359,2.027900793528011,7.746366473395711,15.695737584025515
8939,11.721625066576252,6.412922938195032,2.027944294383551,7.746854249584492,15.696395883568012
8940,11.72219810444189,6.413060584328295,2.027987821912774,7.747341973492854,15.697054235390926
8941,11.722771142307531,6.41319831480572,2.0280313761139626,7.747829645124164,15.697712639490899
8942,11.72334418017317,6.413336129621872,2.028074956985398,7.7483172644817895,15.69837109586455
8943,11.72391721803881,6.413474028771314,2.028118564525362,7.7488048315691005,15.699029604508521
8944,11.724490255904447,6.413612012248607,2.0281621987321334,7.749292346389465,15.69968816541943
8945,11.725063293770088,6.413750080048309,2.028205859603992,7.749779808946264,15.70034677859391
8946,11.725636331635727,6.413888232164972,2.028249547139215,7.750267219242865,15.701005444028588
8947,11.726209369501365,6.414026468593149,2.0282932613360796,7.750754577282649,15.701664161720082
8948,11.726782407367002,6.414164789327389,2.028337002192862,7.751241883068992,15.702322931665012
8949,11.727355445232643,6.414303194362239,2.028380769707838,7.75172913660528,15.702981753860005
8950,11.727928483098284,6.41444168369224,2.0284245638792813,7.752216337894892,15.703640628301674
8951,11.728501520963922,6.414580257311933,2.028468384705466,7.7527034869412095,15.704299554986635
8952,11.729074558829561,6.414718915215856,2.028512232184664,7.753190583747619,15.704958533911503
8953,11.7296475966952,6.414857657398543,2.0285561063151474,7.7536776283175115,15.705617565072888
8954,11.73022063456084,6.4149964838545275,2.0286000070951875,7.754164620654273,15.706276648467409
8955,11.730793672426477,6.415135394578335,2.028643934523053,7.754651560761294,15.70693578409166
8956,11.731366710292116,6.415274389564495,2.028687888597014,7.7551384486419686,15.707594971942264
8957,11.731939748157757,6.415413468807527,2.028731869315337,7.755625284299696,15.708254212015817
8958,11.732512786023396,6.415552632301955,2.028775876676291,7.756112067737865,15.708913504308926
8959,11.733085823889036,6.415691880042293,2.0288199106781413,7.75659879895988,15.709572848818192
8960,11.733658861754673,6.41583121202306,2.028863971319154,7.757085477969131,15.710232245540215
8961,11.734231899620314,6.415970628238763,2.028908058597592,7.757572104769033,15.710891694471595
8962,11.734804937485952,6.416110128683914,2.0289521725117203,7.75805867936298,15.711551195608925
8963,11.735377975351591,6.416249713353018,2.0289963130598014,7.75854520175438,15.712210748948802
8964,11.735951013217228,6.416389382240579,2.029040480240097,7.759031671946637,15.71287035448782
8965,11.73652405108287,6.416529135341096,2.0290846740508677,7.75951808994317,15.71353001222257
8966,11.73709708894851,6.416668972649069,2.029128894490374,7.760004455747376,15.714189722149642
8967,11.737670126814148,6.416808894158991,2.029173141556874,7.760490769362676,15.71484948426562
