period,mean_regret
5108,5.387997458740256
5109,5.388356613717824
5110,5.388715768695391
5111,5.389074923672959
5112,5.3894340786505275
5113,5.389793233628096
5114,5.390152388605664
5115,5.390511543583231
5116,5.390870698560798
5117,5.391229853538367
5118,5.391589008515934
5119,5.391948163493503
5120,5.392307318471071
5121,5.392666473448639
5122,5.393025628426207
5123,5.393384783403774
5124,5.393743938381342
5125,5.394103093358909
5126,5.394462248336478
5127,5.394821403314046
5128,5.395180558291613
5129,5.395539713269182
5130,5.395898868246749
5131,5.396258023224317
5132,5.396617178201884
5133,5.3969763331794525
5134,5.397335488157021
5135,5.39769464313459
5136,5.398053798112157
5137,5.398412953089724
5138,5.398772108067293
5139,5.399131263044859
5140,5.399490418022428
5141,5.3998495729999965
5142,5.400208727977565
5143,5.400567882955132
5144,5.4009270379327
5145,5.401286192910268
5146,5.401645347887836
5147,5.402004502865403
5148,5.402363657842971
5149,5.40272281282054
5150,5.403081967798107
5151,5.403441122775676
5152,5.403800277753243
5153,5.404159432730811
5154,5.404518587708379
5155,5.4048777426859465
5156,5.405236897663515
5157,5.405596052641082
5158,5.405955207618651
5159,5.406314362596218
5160,5.406673517573785
5161,5.407032672551354
5162,5.4073918275289214
5163,5.40775098250649
5164,5.408110137484057
5165,5.408469292461625
5166,5.408828447439193
5167,5.409187602416762
5168,5.409546757394329
5169,5.409905912371896
5170,5.410265067349465
5171,5.410624222327033
5172,5.410983377304601
5173,5.411342532282169
5174,5.411701687259737
5175,5.412060842237304
5176,5.412419997214872
5177,5.41277915219244
5178,5.4131383071700085
5179,5.413497462147576
5180,5.413856617125143
5181,5.414215772102712
5182,5.414574927080279
5183,5.414934082057848
5184,5.415293237035415
5185,5.4156523920129835
5186,5.416011546990552
5187,5.416370701968119
5188,5.416729856945687
5189,5.417089011923254
5190,5.417448166900823
5191,5.41780732187839
5192,5.418166476855958
5193,5.418525631833527
5194,5.418884786811094
5195,5.419243941788662
5196,5.419603096766229
5197,5.419962251743797
5198,5.420321406721365
