candidate_id,c_0,delta_decay_power,zeta,eta_plus,eta_minus,final_mean_regret,mean_path_regret,final_regret_std,final_mean_reference_price,final_mean_price_estimate,is_default_candidate
c0_0_1_decay_0_25,0.1,0.25,0.02,0.1,0.15,12.381135942436355,8.845142289867724,7.5165323044092025,1.0756142986942205,1.08811429869422,True
c0_0_1_decay_0_25,0.1,0.25,0.02,0.1,0.3,12.085100073397411,8.819221530756844,6.118567345366853,1.0759004917978778,1.0884004917978778,True
c0_0_1_decay_0_25,0.1,0.25,0.02,0.1,0.45,14.332111654380228,10.130043696258214,7.628572552543323,1.0685238161310326,1.0810238161310326,True
c0_0_1_decay_0_25,0.1,0.25,0.1,0.1,0.15,12.551059021076558,8.977562145513765,7.855319111757843,1.0752245403800564,1.0877245403800562,True
c0_0_1_decay_0_25,0.1,0.25,0.1,0.1,0.3,12.329618242019375,9.041562775586353,6.605177865680052,1.0757452180110412,1.0882452180110407,True
c0_0_1_decay_0_25,0.1,0.25,0.1,0.1,0.45,12.461169782004623,9.215499980688342,6.52026218841925,1.0763892404184747,1.088889240418475,True
c0_0_1_decay_0_25,0.1,0.25,0.4,0.1,0.15,13.424026821918982,9.655054237028962,9.611248448410302,1.0733449681674339,1.0858449681674336,True
c0_0_1_decay_0_25,0.1,0.25,0.4,0.1,0.3,13.816092882951754,10.29981202283727,9.402499040392946,1.074566437679291,1.0870664376792911,True
c0_0_1_decay_0_25,0.1,0.25,0.4,0.1,0.45,14.392607385535205,10.807876557567672,9.15883227678,1.0774448959223775,1.0899448959223776,True
c0_0_1_decay_0_3,0.1,0.3,0.02,0.1,0.15,13.012371939432104,9.01095852723104,8.15331310156788,1.0773609829671118,1.0856079074094425,False
c0_0_1_decay_0_3,0.1,0.3,0.02,0.1,0.3,12.322029134381427,8.77192144569909,6.222293396839454,1.0778532502461087,1.0861001746884393,False
c0_0_1_decay_0_3,0.1,0.3,0.02,0.1,0.45,12.373628214052527,8.883440170903278,6.03541217354591,1.0777629967511178,1.0860099211934486,False
c0_0_1_decay_0_3,0.1,0.3,0.1,0.1,0.15,13.1829183165917,9.145792899459575,8.460518497643779,1.076730594043233,1.0849775184855637,False
c0_0_1_decay_0_3,0.1,0.3,0.1,0.1,0.3,12.68214794491185,9.059774441406665,6.73116979953915,1.0772037979153737,1.0854507223577043,False
c0_0_1_decay_0_3,0.1,0.3,0.1,0.1,0.45,12.707549519075041,9.18035804636959,6.506265018301345,1.0776037438337653,1.0858506682760958,False
c0_0_1_decay_0_3,0.1,0.3,0.4,0.1,0.15,14.224664677637122,9.934283481032248,9.911228732437165,1.0733314307710455,1.0815783552133762,False
c0_0_1_decay_0_3,0.1,0.3,0.4,0.1,0.3,14.512046740419882,10.541518846791634,9.529782120146821,1.0742288494043586,1.082475773846689,False
c0_0_1_decay_0_3,0.1,0.3,0.4,0.1,0.45,14.971795674730748,11.049817552633426,9.117556408277766,1.0792916828786265,1.0875386073209572,False
c0_0_15_decay_0_2,0.15,0.2,0.02,0.1,0.15,15.439224630153607,10.401024172008066,7.404150160450222,1.0587717066966933,1.0871913923187635,False
c0_0_15_decay_0_2,0.15,0.2,0.02,0.1,0.3,16.725910788826376,11.395863431100084,8.431698930895754,1.0572723044120917,1.0856919900341615,False
c0_0_15_decay_0_2,0.15,0.2,0.02,0.1,0.45,17.221031772838778,11.911311328142613,8.797308521024934,1.0575089727635807,1.0859286583856507,False
c0_0_15_decay_0_2,0.15,0.2,0.1,0.1,0.15,15.642718094550375,10.539643097798805,7.637780948268658,1.0584699476036277,1.0868896332256976,False
c0_0_15_decay_0_2,0.15,0.2,0.1,0.1,0.3,17.04029339274655,11.61678310560878,8.79452444918637,1.057013153131205,1.085432838753275,False
c0_0_15_decay_0_2,0.15,0.2,0.1,0.1,0.45,17.724505144104427,12.267533052124667,9.168960353604934,1.0571181869422361,1.0855378725643061,False
c0_0_15_decay_0_2,0.15,0.2,0.4,0.1,0.15,16.78651805971291,11.325974330778134,8.58289462310246,1.0568644557056874,1.0852841413277576,False
c0_0_15_decay_0_2,0.15,0.2,0.4,0.1,0.3,19.041202133673913,13.045004645229241,10.091357183549478,1.0552782340124964,1.0836979196345662,False
c0_0_15_decay_0_2,0.15,0.2,0.4,0.1,0.45,19.93076234145189,13.993079848142903,9.873342402924582,1.0561364090690712,1.0845560946911412,False
c0_0_15_decay_0_25,0.15,0.25,0.02,0.1,0.15,13.782147065999425,9.507837945654826,8.508405087155948,1.0657615916390033,1.0845115916390031,False
c0_0_15_decay_0_25,0.15,0.25,0.02,0.1,0.3,15.357544753246751,10.647820351292237,10.039255820156116,1.0637443245077522,1.0824943245077523,False
c0_0_15_decay_0_25,0.15,0.25,0.02,0.1,0.45,15.987289967272465,11.16360068249095,10.629078757447612,1.0637070138008191,1.0824570138008194,False
c0_0_15_decay_0_25,0.15,0.25,0.1,0.1,0.15,14.051332953757438,9.674105410393295,8.920622781229108,1.0653891839587781,1.084139183958778,False
